NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
SUPERPATHWAY OF D-<I>MYO< I>-INOSITOL (1,4,5)-TRISPHOSPHATE METABOLISM%HUMANCYC%PWY-6358	20	18		
TRIACYLGLYCEROL DEGRADATION%HUMANCYC%LIPAS-PWY	14		Rejected!	
GLUCOSE AND GLUCOSE-1-PHOSPHATE DEGRADATION%HUMANCYC%GLUCOSE1PMETAB-PWY	5		Rejected!	
CHOLESTEROL BIOSYNTHESIS I%HUMANCYC%PWY66-341	13		Rejected!	
HISTIDINE DEGRADATION III%HUMANCYC%PWY-5030	7		Rejected!	
SPHINGOMYELIN METABOLISM%HUMANCYC%PWY3DJ-11281	8		Rejected!	
TETRAHYDROBIOPTERIN BIOSYNTHESIS I%HUMANCYC%PWY-5663	3		Rejected!	
FORMALDEHYDE OXIDATION II (GLUTATHIONE-DEPENDENT)%HUMANCYC%PWY-1801	2		Rejected!	
RAPOPORT-LUEBERING GLYCOLYTIC SHUNT%HUMANCYC%PWY-6405	4		Rejected!	
D-GLUCURONATE DEGRADATION I%HUMANCYC%PWY-5525	2		Rejected!	
NORADRENALINE AND ADRENALINE DEGRADATION%HUMANCYC%PWY-6342	10		Rejected!	
ARGININE DEGRADATION I (ARGINASE PATHWAY)%HUMANCYC%ARGASEDEG-PWY	4		Rejected!	
PHOSPHOLIPASES%HUMANCYC%LIPASYN-PWY	38	21		
D-<I>MYO< I>-INOSITOL (1,4,5)-TRISPHOSPHATE DEGRADATION%HUMANCYC%PWY-6363	13		Rejected!	
ADENINE AND ADENOSINE SALVAGE VI%HUMANCYC%PWY-6619	1		Rejected!	
KETOLYSIS%HUMANCYC%REACT_59.NULL	6		Rejected!	
NAD PHOSPHORYLATION AND DEPHOSPHORYLATION%HUMANCYC%NADPHOS-DEPHOS-PWY	4		Rejected!	
NAD BIOSYNTHESIS FROM 2-AMINO-3-CARBOXYMUCONATE SEMIALDEHYDE%HUMANCYC%PWY-5653	5		Rejected!	
L-CYSTEINE DEGRADATION II%HUMANCYC%LCYSDEG-PWY	1		Rejected!	
DOPAMINE DEGRADATION%HUMANCYC%PWY6666-2	7		Rejected!	
UREA CYCLE%HUMANCYC%PWY-4984	6		Rejected!	
GERANYLGERANYLDIPHOSPHATE BIOSYNTHESIS%HUMANCYC%PWY-5120	1		Rejected!	
ANANDAMIDE DEGRADATION%HUMANCYC%PWY6666-1	2		Rejected!	
3-PHOSPHOINOSITIDE DEGRADATION%HUMANCYC%PWY-6368	20	17		
PENTOSE PHOSPHATE PATHWAY%HUMANCYC%PENTOSE-P-PWY	10		Rejected!	
ALL-<I>TRANS< I>-DECAPRENYL DIPHOSPHATE BIOSYNTHESIS%HUMANCYC%PWY-5806	2		Rejected!	
OXIDATIVE ETHANOL DEGRADATION III%HUMANCYC%PWY66-161	7		Rejected!	
HEME BIOSYNTHESIS II%HUMANCYC%PWY-5920	9		Rejected!	
GDP-GLUCOSE BIOSYNTHESIS%HUMANCYC%PWY-5661	5		Rejected!	
L-CYSTEINE DEGRADATION I%HUMANCYC%CYSTEINE-DEG-PWY	2		Rejected!	
TRYPTOPHAN DEGRADATION TO 2-AMINO-3-CARBOXYMUCONATE SEMIALDEHYDE%HUMANCYC%PWY-5651	5		Rejected!	
EUMELANIN BIOSYNTHESIS%HUMANCYC%PWY-6498	4		Rejected!	
SPERMINE AND SPERMIDINE DEGRADATION I%HUMANCYC%PWY-6117	5		Rejected!	
URATE BIOSYNTHESIS INOSINE 5'-PHOSPHATE DEGRADATION%HUMANCYC%PWY-5695	8		Rejected!	
5-AMINOIMIDAZOLE RIBONUCLEOTIDE BIOSYNTHESIS I%HUMANCYC%PWY-6121	3		Rejected!	
SEROTONIN AND MELATONIN BIOSYNTHESIS%HUMANCYC%PWY-6030	5		Rejected!	
ACYL-COA HYDROLYSIS%HUMANCYC%PWY-5148	3		Rejected!	
HISTAMINE DEGRADATION%HUMANCYC%PWY-6181	3		Rejected!	
ALANINE BIOSYNTHESIS II%HUMANCYC%ALANINE-SYN2-PWY	2		Rejected!	
ALANINE DEGRADATION III%HUMANCYC%ALANINE-DEG3-PWY	2		Rejected!	
MAP KINASE CASCADE%HUMANCYC%REACT_634.NULL	1		Rejected!	
CHOLINE BIOSYNTHESIS III%HUMANCYC%PWY-3561	9		Rejected!	
BMP SIGNALLING PATHWAY%HUMANCYC%REACT_12034.NULL	6		Rejected!	
TETRAPYRROLE BIOSYNTHESIS II%HUMANCYC%PWY-5189	5		Rejected!	
LEUKOTRIENE BIOSYNTHESIS%HUMANCYC%15354	7		Rejected!	
FLAVIN BIOSYNTHESIS IV (MAMMALIAN)%HUMANCYC%11070	2		Rejected!	
GLYCOGEN DEGRADATION II%HUMANCYC%PWY-5941	7		Rejected!	
4-HYDROXYPROLINE DEGRADATION I%HUMANCYC%HYDROXYPRODEG-PWY	1		Rejected!	
<I>TRANS, TRANS< I>-FARNESYL DIPHOSPHATE BIOSYNTHESIS%HUMANCYC%PWY-5123	4		Rejected!	
L-GLUTAMINE BIOSYNTHESIS II (TRNA-DEPENDENT)%HUMANCYC%PWY-5921	2		Rejected!	
OLEATE BIOSYNTHESIS II (ANIMALS)%HUMANCYC%PWY-5996	8		Rejected!	
PYRUVATE FERMENTATION TO LACTATE%HUMANCYC%PWY-5481	5		Rejected!	
D-<I>MYO< I>-INOSITOL (1,4,5)-TRISPHOSPHATE BIOSYNTHESIS%HUMANCYC%PWY-6351	25	22		
GLUTATHIONE-MEDIATED DETOXIFICATION I%HUMANCYC%PWY-4061	24	17		
LYSINE DEGRADATION II%HUMANCYC%LYSINE-DEG1-PWY	3		Rejected!	
PROLINE BIOSYNTHESIS I%HUMANCYC%PROSYN-PWY	4		Rejected!	
FATTY ACID &BETA;-OXIDATION I%HUMANCYC%FAO-PWY	18	16		
UDP-<I>N< I>-ACETYL-D-GLUCOSAMINE BIOSYNTHESIS II%HUMANCYC%UDPNACETYLGALSYN-PWY	5		Rejected!	
CDP-DIACYLGLYCEROL BIOSYNTHESIS I%HUMANCYC%PWY-5667	19	16		
PUTRESCINE BIOSYNTHESIS III%HUMANCYC%PWY-46	2		Rejected!	
GDP-L-FUCOSE BIOSYNTHESIS I (FROM GDP-D-MANNOSE)%HUMANCYC%PWY-66	2		Rejected!	
COLANIC ACID BUILDING BLOCKS BIOSYNTHESIS%HUMANCYC%COLANSYN-PWY	13		Rejected!	
SALVAGE PATHWAYS OF PYRIMIDINE DEOXYRIBONUCLEOTIDES%HUMANCYC%PWY0-181	5		Rejected!	
D-<I>MYO< I>-INOSITOL (1,4,5,6)-TETRAKISPHOSPHATE BIOSYNTHESIS%HUMANCYC%PWY-6366	3		Rejected!	
1,25-DIHYDROXYVITAMIN D<SUB>3< SUB> BIOSYNTHESIS%HUMANCYC%PWY-6076	3		Rejected!	
GALACTOSE DEGRADATION I (LELOIR PATHWAY)%HUMANCYC%PWY-6317	4		Rejected!	
THIOSULFATE DISPROPORTIONATION III (RHODANESE)%HUMANCYC%PWY-5350	1		Rejected!	
METHYLTHIOPROPIONATE BIOSYNTHESIS%HUMANCYC%PWY-5389	1		Rejected!	
SUPERPATHWAY OF SERINE AND GLYCINE BIOSYNTHESIS I%HUMANCYC%SER-GLYSYN-PWY	5		Rejected!	
NAD SALVAGE PATHWAY III%HUMANCYC%PWY3O-4106	5		Rejected!	
CHONDROITIN SULFATE DEGRADATION (METAZOA)%HUMANCYC%PWY-6573	6		Rejected!	
L-DOPACHROME BIOSYNTHESIS%HUMANCYC%PWY-6481	1		Rejected!	
GLUCONEOGENESIS I%HUMANCYC%GLUCONEO-PWY	22	15		
GLUTAMATE DEPENDENT ACID RESISTANCE%HUMANCYC%PWY0-1305	2		Rejected!	
1D-<I>MYO< I>-INOSITOL HEXAKISPHOSPHATE BIOSYNTHESIS V (FROM INS(1,3,4)P3)%HUMANCYC%PWY-6554	3		Rejected!	
GLYCINE BIOSYNTHESIS III%HUMANCYC%GLYSYN-ALA-PWY	2		Rejected!	
TYROSINE BIOSYNTHESIS IV%HUMANCYC%PWY-6134	1		Rejected!	
ADENOSINE NUCLEOTIDES DEGRADATION II%HUMANCYC%SALVADEHYPOX-PWY	9		Rejected!	
GLUTAMATE DEGRADATION II%HUMANCYC%GLUTDEG-PWY	3		Rejected!	
CARDIOLIPIN BIOSYNTHESIS II%HUMANCYC%PWY-5269	2		Rejected!	
THIAMIN SALVAGE III%HUMANCYC%PWY-6898	1		Rejected!	
DOLICHYL-DIPHOSPHOOLIGOSACCHARIDE BIOSYNTHESIS%HUMANCYC%MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	9		Rejected!	
FATTY ACID BIOSYNTHESIS INITIATION II%HUMANCYC%PWY-5966	3		Rejected!	
GLUTAMATE BIOSYNTHESIS II%HUMANCYC%GLUTAMATE-SYN2-PWY	2		Rejected!	
TAURINE BIOSYNTHESIS%HUMANCYC%PWY-5331	2		Rejected!	
FATTY ACID ACTIVATION%HUMANCYC%PWY-5143	8		Rejected!	
<I>S< I>-METHYL-5-THIO-&ALPHA;-D-RIBOSE 1-PHOSPHATE DEGRADATION%HUMANCYC%PWY-6755	4		Rejected!	
PENTOSE PHOSPHATE PATHWAY (OXIDATIVE BRANCH)%HUMANCYC%OXIDATIVEPENT-PWY	4		Rejected!	
FATTY ACID &ALPHA;-OXIDATION III%HUMANCYC%PWY66-388	3		Rejected!	
ADENINE AND ADENOSINE SALVAGE III%HUMANCYC%PWY-6609	4		Rejected!	
CATECHOLAMINE BIOSYNTHESIS%HUMANCYC%PWY66-301	3		Rejected!	
THYMINE DEGRADATION%HUMANCYC%PWY-6430	8		Rejected!	
4-HYDROXY-2-NONENAL DETOXIFICATION%HUMANCYC%PWY-7112	5		Rejected!	
THIO-MOLYBDENUM COFACTOR BIOSYNTHESIS%HUMANCYC%PWY-5963	1		Rejected!	
NAD BIOSYNTHESIS III%HUMANCYC%NAD-BIOSYNTHESIS-III	4		Rejected!	
COENZYME A BIOSYNTHESIS%HUMANCYC%COA-PWY	3		Rejected!	
GLYCOLYSIS I%HUMANCYC%GLYCOLYSIS	22	15		
<I>N< I>-ACETYLGLUCOSAMINE DEGRADATION I%HUMANCYC%GLUAMCAT-PWY	3		Rejected!	
UDP-<I>N< I>-ACETYL-D-GALACTOSAMINE BIOSYNTHESIS II%HUMANCYC%PWY-5514	9		Rejected!	
3-PHOSPHOINOSITIDE BIOSYNTHESIS%HUMANCYC%PWY-6352	27	25		
PHOSPHATIDYLETHANOLAMINE BIOSYNTHESIS III%HUMANCYC%PWY-6273	1		Rejected!	
SUPERPATHWAY OF GERANYLGERANYLDIPHOSPHATE BIOSYNTHESIS I (VIA MEVALONATE)%HUMANCYC%PWY-5910	14		Rejected!	
SORBITOL DEGRADATION I%HUMANCYC%PWY-4101	1		Rejected!	
THYROID HORMONE BIOSYNTHESIS%HUMANCYC%PWY-6241	2		Rejected!	
4-AMINOBUTYRATE DEGRADATION I%HUMANCYC%PWY-6535	2		Rejected!	
GUANINE AND GUANOSINE SALVAGE I%HUMANCYC%PWY-6620	2		Rejected!	
LACTOSE DEGRADATION III%HUMANCYC%BGALACT-PWY	1		Rejected!	
ETHANOL DEGRADATION II%HUMANCYC%PWY66-21	6		Rejected!	
GLUTAMINE BIOSYNTHESIS I%HUMANCYC%GLNSYN-PWY	1		Rejected!	
SPHINGOSINE AND SPHINGOSINE-1-PHOSPHATE METABOLISM%HUMANCYC%PWY3DJ-11470	9		Rejected!	
CITRULLINE DEGRADATION%HUMANCYC%CITRULLINE-DEG-PWY	1		Rejected!	
SPERMINE BIOSYNTHESIS%HUMANCYC%ARGSPECAT-PWY	2		Rejected!	
S-ADENOSYL-L-METHIONINE BIOSYNTHESIS%HUMANCYC%SAM-PWY	3		Rejected!	
GLUTATHIONE REDOX REACTIONS I%HUMANCYC%PWY-4081	9		Rejected!	
NAD SALVAGE PATHWAY II%HUMANCYC%NAD-BIOSYNTHESIS-II	13		Rejected!	
ASPARAGINE DEGRADATION I%HUMANCYC%ASPARAGINE-DEG1-PWY	2		Rejected!	
PRPP BIOSYNTHESIS I%HUMANCYC%PWY0-662	3		Rejected!	
CHOLESTEROL BIOSYNTHESIS III (VIA DESMOSTEROL)%HUMANCYC%PWY66-4	13		Rejected!	
ASPARTATE DEGRADATION II%HUMANCYC%MALATE-ASPARTATE-SHUTTLE-PWY	5		Rejected!	
PROLINE BIOSYNTHESIS II (FROM ARGININE)%HUMANCYC%PWY-4981	5		Rejected!	
GLUTAMATE DEGRADATION III (VIA 4-AMINOBUTYRATE)%HUMANCYC%GLUDEG-I-PWY	4		Rejected!	
PHOSPHATIDYLETHANOLAMINE BIOSYNTHESIS II%HUMANCYC%PWY4FS-6	6		Rejected!	
PENTOSE PHOSPHATE PATHWAY (NON-OXIDATIVE BRANCH)%HUMANCYC%NONOXIPENT-PWY	6		Rejected!	
FATTY ACID &BETA;-OXIDATION III (UNSATURATED, ODD NUMBER)%HUMANCYC%PWY-5137	3		Rejected!	
GLUTAMATE REMOVAL FROM FOLATES%HUMANCYC%PWY-2161B	1		Rejected!	
NAD BIOSYNTHESIS II (FROM TRYPTOPHAN)%HUMANCYC%NADSYN-PWY	10		Rejected!	
D-<I>MYO< I>-INOSITOL (1,3,4)-TRISPHOSPHATE BIOSYNTHESIS%HUMANCYC%PWY-6364	15		Rejected!	
URACIL DEGRADATION II (REDUCTIVE)%HUMANCYC%PWY-3982	8		Rejected!	
PURINE NUCLEOTIDES <I>DE NOVO< I> BIOSYNTHESIS II%HUMANCYC%PWY-841	11		Rejected!	
TRIACYLGLYCEROL BIOSYNTHESIS%HUMANCYC%TRIGLSYN-PWY	27	15		
GLUTATHIONE BIOSYNTHESIS%HUMANCYC%GLUTATHIONESYN-PWY	3		Rejected!	
PYRIMIDINE RIBONUCLEOTIDES <I>DE NOVO< I> BIOSYNTHESIS%HUMANCYC%PWY0-162	15		Rejected!	
SUPERPATHWAY OF CHOLESTEROL BIOSYNTHESIS%HUMANCYC%PWY66-5	27	25		
SALVAGE PATHWAYS OF PYRIMIDINE RIBONUCLEOTIDES%HUMANCYC%PWY0-163	16		Rejected!	
GDP-MANNOSE BIOSYNTHESIS%HUMANCYC%PWY-5659	6		Rejected!	
CYSTEINE BIOSYNTHESIS HOMOCYSTEINE DEGRADATION%HUMANCYC%HOMOCYSDEGR-PWY	2		Rejected!	
ARGININE DEGRADATION VI (ARGINASE 2 PATHWAY)%HUMANCYC%ARG-PRO-PWY	6		Rejected!	
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS%HUMANCYC%PWY-5886	1		Rejected!	
SEROTONIN DEGRADATION%HUMANCYC%PWY-6313	10		Rejected!	
L-CARNITINE BIOSYNTHESIS%HUMANCYC%PWY-6100	3		Rejected!	
DERMATAN SULFATE DEGRADATION (METAZOA)%HUMANCYC%PWY-6576	4		Rejected!	
&BETA;-ALANINE DEGRADATION I%HUMANCYC%BETA-ALA-DEGRADATION-I-PWY	2		Rejected!	
TRNA SPLICING%HUMANCYC%PWY-6689	5		Rejected!	
EPOXYSQUALENE BIOSYNTHESIS%HUMANCYC%PWY-5670	2		Rejected!	
CREATINE-PHOSPHATE BIOSYNTHESIS%HUMANCYC%PWY-6158	4		Rejected!	
GLYCEROL-3-PHOSPHATE SHUTTLE%HUMANCYC%PWY-6118	2		Rejected!	
GLUTAMATE DEGRADATION X%HUMANCYC%PWY-5766	2		Rejected!	
PURINE RIBONUCLEOSIDES DEGRADATION TO RIBOSE-1-PHOSPHATE%HUMANCYC%PWY0-1296	3		Rejected!	
&ALPHA;-TOCOPHEROL DEGRADATION%HUMANCYC%PWY-6377	1		Rejected!	
TYROSINE DEGRADATION I%HUMANCYC%TYRFUMCAT-PWY	5		Rejected!	
THREONINE DEGRADATION II%HUMANCYC%THREONINE-DEG2-PWY	1		Rejected!	
ACYL CARRIER PROTEIN METABOLISM%HUMANCYC%PWY-6012	1		Rejected!	
ARGININE BIOSYNTHESIS IV%HUMANCYC%ARGININE-SYN4-PWY	6		Rejected!	
TREHALOSE DEGRADATION II (TREHALASE)%HUMANCYC%PWY0-1182	4		Rejected!	
TETRAHYDROBIOPTERIN BIOSYNTHESIS II%HUMANCYC%PWY-5664	3		Rejected!	
SUPEROXIDE RADICALS DEGRADATION%HUMANCYC%DETOX1-PWY	5		Rejected!	
&GAMMA;-GLUTAMYL CYCLE%HUMANCYC%PWY-4041	13		Rejected!	
ACETATE CONVERSION TO ACETYL-COA%HUMANCYC%PWY0-1313	3		Rejected!	
L-CYSTEINE DEGRADATION III%HUMANCYC%PWY-5329	1		Rejected!	
PYRIMIDINE RIBONUCLEOTIDES INTERCONVERSION%HUMANCYC%PWY-5687	13		Rejected!	
1D-<I>MYO< I>-INOSITOL HEXAKISPHOSPHATE BIOSYNTHESIS II (MAMMALIAN)%HUMANCYC%PWY-6362	15		Rejected!	
CHOLESTEROL BIOSYNTHESIS II (VIA 24,25-DIHYDROLANOSTEROL)%HUMANCYC%PWY66-3	13		Rejected!	
MOLYBDENUM COFACTOR BIOSYNTHESIS%HUMANCYC%PWY-6823	4		Rejected!	
SULFATE ACTIVATION FOR SULFONATION%HUMANCYC%PWY-5340	2		Rejected!	
GLYCINE BIOSYNTHESIS I%HUMANCYC%GLYSYN-PWY	2		Rejected!	
METHYLGLYOXAL DEGRADATION VI%HUMANCYC%MGLDLCTANA-PWY	1		Rejected!	
CERAMIDE DEGRADATION%HUMANCYC%PWY-6483	1		Rejected!	
GLYCOGEN DEGRADATION III%HUMANCYC%PWY-5767	9		Rejected!	
CITRULLINE-NITRIC OXIDE CYCLE%HUMANCYC%PWY-4983	5		Rejected!	
ALPHA6BETA4INTEGRIN%IOB%ALPHA6BETA4INTEGRIN	56	48		
ANDROGENRECEPTOR%IOB%ANDROGENRECEPTOR	103	81		
BDNF%IOB%BDNF	43	32		
CCR1%IOB%CCR1	29	16		
CCR7%IOB%CCR7	20	15		
CCR9%IOB%CCR9	16		Rejected!	
CD40%IOB%CD40	25	24		
CXCR4%IOB%CXCR4	85	70		
EGFR1%IOB%EGFR1	384		Rejected!	
EPO%IOB%EPO	45	39		
FAS%IOB%FAS	93	83		
FLK2 FLT3%IOB%FLK2 FLT3	18	17		
G-CSF%IOB%G-CSF	40	32		
GDNF%IOB%GDNF	29	24		
GM-CSF%IOB%GM-CSF	65	56		
HEDGEHOG%IOB%HEDGEHOG	33	25		
ID%IOB%ID	23	16		
IFN-ALPHA%IOB%IFN-ALPHA	32	30		
IFN-GAMMA%IOB%IFN-GAMMA	35	33		
KITRECEPTOR%IOB%KITRECEPTOR	81	70		
LEPTIN%IOB%LEPTIN	43	37		
M-CSF%IOB%M-CSF	51	41		
NGF%IOB%NGF	18	16		
NOTCH%IOB%NOTCH	67	55		
TGF_BETA_RECEPTOR%IOB%TGF_BETA_RECEPTOR	156	131		
THROMBOPOIETIN%IOB%THROMBOPOIETIN	9		Rejected!	
TIE1 TEK%IOB%TIE1 TEK	16		Rejected!	
TNFALPHA%IOB%TNFALPHA	177	155		
TNFSF1%IOB%TNFSF1	16		Rejected!	
TNFSF3%IOB%TNFSF3	14		Rejected!	
TNFSF8%IOB%TNFSF8	18	15		
TRAIL%IOB%TRAIL	48	40		
WNT%IOB%WNT	98	62		
PID_IL2_PI3K_PATHWAY%MSIGDB_C2%PID_IL2_PI3K_PATHWAY	31	28		
BIOCARTA_TERT_PATHWAY%MSIGDB_C2%BIOCARTA_TERT_PATHWAY	7		Rejected!	
PID_E2F_PATHWAY%MSIGDB_C2%PID_E2F_PATHWAY	63	45		
PID_P53_DOWNSTREAM_PATHWAY%MSIGDB_C2%PID_P53_DOWNSTREAM_PATHWAY	124	98		
PID_FANCONI_PATHWAY%MSIGDB_C2%PID_FANCONI_PATHWAY	40	36		
BIOCARTA_MEF2D_PATHWAY%MSIGDB_C2%BIOCARTA_MEF2D_PATHWAY	15		Rejected!	
BIOCARTA_PPARG_PATHWAY%MSIGDB_C2%BIOCARTA_PPARG_PATHWAY	8		Rejected!	
PID_TGFBR_PATHWAY%MSIGDB_C2%PID_TGFBR_PATHWAY	39	33		
PID_SYNDECAN_4_PATHWAY%MSIGDB_C2%PID_SYNDECAN_4_PATHWAY	26	15		
PID_LPA4_PATHWAY%MSIGDB_C2%PID_LPA4_PATHWAY	10		Rejected!	
